Title,Year,Plot
Zapped!,1982,A high school science nerd gains telekinetic powers after a laboratory accident and uses them for revenge upon bullies.
Six Pack,1982,A race car driver is driving to a race in a motor home with his race car on a trailer. His car gets stripped of parts. He ends up with 6 orphan kids on his way to the race.
The World According to Garp,1982,"A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon."
Diner,1982,A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.
The Best Little Whorehouse in Texas,1982,A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.
The Year of Living Dangerously,1982,A young Australian reporter tries to navigate the political turmoil of Indonesia during the rule of President Sukarno with the help of a diminutive photographer.
Night Shift,1982,"A mild-mannered morgue attendant is assigned to the night shift, and his new coworker, along with his prostitute neighbor, convince him of running a prostitution ring out of the morgue."
Summer Lovers,1982,A young American couple and a French woman engage in a threesome in the Greek Islands.
Victor Victoria: Niente è come sembra,2009–2011,N/A
The Last Unicorn,1982,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.
The Entity,1982,A woman is tormented by an invisible being.
Airplane II: The Sequel,1982,A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?
The Toy,1982,An underemployed reporter finds himself literally purchased as a toy for a rich spoiled brat.
The House on Sorority Row,1982,"After a seemingly innocent prank goes horribly wrong, a group of sorority sisters are stalked and murdered one by one in their sorority house while throwing a party to celebrate their graduation."
Evil Under the Sun,1982,"Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi."
The Sword and the Sorcerer,1982,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.
Death Wish II,1982,"Architect Paul Kersey once again becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper, this time on the dark streets of Los Angeles."
Silent Rage,1982,"A sheriff tries to stop the killing spree of a silent maniacal murderer who, as the result of secret genetic experimentation by an unethical scientist, has the ability to self-heal."
Megaforce,1982,Story about a rapid deployment defense unit that is called into action whenever freedom is threatened.
Personal Best,1982,"The intertwined lives and loves of three highly ranked athletes striving for the national team; Chris bounces between the beds of male coach Terry and her female friend, competitor, and role model Tory."
Dead Men Don't Wear Plaid,1982,Film noir parody with a detective uncovering a sinister plot. Characters from classic noir films appear as scenes from various movies interjected into the story.
Amityville II: The Possession,1982,"A dysfunctional family moves into a new house, which proves to be satanic, resulting in the demonic possession of their teenage son."
Missing,2023,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
Frances,1982,The story of Frances Farmer's meteoric rise to fame in Hollywood and the tragic turn her life took when she was blacklisted.
The Seduction,1982,"A popular anchorwoman, Jaime Douglas, is stalked by a photographer who's obsessed with her and wants to win her affections at any cost."
Cannery Row,1982,"Monterey, California in the 1940's. Cannery Row - the section of town where the now closed fish canneries are located - is inhabited primarily by the down and out, although many would not move away even if they could. Probably the..."
Deathtrap,1982,A Broadway playwright puts murder in his plan to take credit for a student's play.
Tex,1982,"After their mother dies and their father leaves them, teenage brothers Tex and Mason McCormick struggle to make it on their own."
Time Walker,1982,"An alien, buried in King Tut's tomb, terrorizes a college campus."
"I, the Jury",1982,"A PI investigates the murder of his one-armed friend, a PI working on a case. Clues lead to a sex clinic. Bodies pile up."
Tempest,1982,John Cassavetes gives a compelling performance as a man confronting a mid-life crisis with extraordinary results for everyone around him.
Young Doctors in Love,1982,"In a zany parody of hospital soap operas, a new batch of doctors begins their internship at City Hospital."
My Favorite Year,1982,"An aging, dissolute matinee idol is slated to appear on a live TV variety show in 1954, and a young comedy writer is tasked with the thankless job of keeping him ready and sober for the broadcast."
Still of the Night,1982,A Manhattan psychiatrist probes a patient's murder and falls for the victim's mysterious mistress.
Parasite,2019,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Making Love,1982,A successful young L.A. doctor and his equally successful television-producer wife find their happily-ever-after life torn assunder when he suddenly confronts his long-repressed attraction for other men. Zach and Claire live a com...
Honkytonk Man,1982,A boy with a music talent goes on a journey with his uncle for a stage concert.
The Beast Within,1982,"A young woman gets raped by a mysterious man-creature, and years later her son begins a horrific transformation into a similar beast."
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,"A fan club of die-hard James Dean fans meet on the 20th anniversary of his death and reconnect, opening old wounds and facing new ones."
The Final Option,1982,It's suspected that a peace/anti-nuke organization in UK has some extremists willing to use terrorism. The action will probably be against an embassy in London. The SAS/Special Air Service try to get the organization infiltrated.
Trail of the Pink Panther,1982,Journalist Marie Jouvet attempts to uncover the mysterious disappearance of Chief Inspector Jacques Clouseau.
The Sender,1982,"A disturbed telepathic man is unable to fully control his ability to transmit his dreams and visions into the minds of the people around him, or even influence reality. A female therapist tries to help him, but his mother gets in ..."
The Border,1982,A corrupt border Agent decides to clean up his act when an impoverished woman's baby is put up for sale on the black market.
Kiss Me Goodbye,1982,The ghost of a dead husband haunts his wife as she moves back to their house in NYC. She's about to marry an egyptologist there.
A Midsummer Night's Sex Comedy,1982,A wacky inventor and his wife invite two other couples for a weekend party at a romantic summer house in the 1900s countryside.
Vice Squad,1982,"A single mother prostitute, who goes by the name Princess, finds herself forced to work undercover for the police in order to apprehend a homicidal, misogynistic pimp named Ramrod, who will do anything not to get arrested."
Best Friends,1982,"After five successful years of living and working together, a couple decide to get married. But what they don't count on is how to survive the honeymoon."
Shoot the Moon,1982,"A mother of four is abandoned by her husband for a younger woman. Husband, wife and children struggle to survive the seemingly inevitable divorce."
Lookin' to Get Out,1982,"Alex has had a good day at the track, a bad night at the poker game and hell have a worse time if the guys he owes catch up with him. So Alex and go-along pal Jerry split for Las Vegas..."
Barbarosa,1982,"An inexperienced farm boy hooks up with a legendary outlaw in Mexico and both are soon on the run from the law, Mexican bandits, and two families bent on revenge."
Visiting Hours,1982,"A deranged, misogynistic killer assaults a journalist. When he discovers that she survived the attack, he follows her to the hospital to finish her off."
A Little Sex,1982,The story of one man's hilarious - and doomed - attempts to wield life's ultimate double-edged sword: infidelity.
Class Reunion,1982,"It's been 10 years since Lizzie Borden High School's class of '72 graduated, and the preppies, the hippies and the in-crowd have returned to reminisce over good times past. Classmate Walter Baylor has returned too, but with a veng..."
Hanky Panky,1982,"Completely innocent man, Michael Jordon, is drawn into a web of government secrets when a girl carrying a mysterious package gets into a taxi with him. When she's later murdered, Michael becomes the chief suspect and goes on the run."
Author! Author!,1982,"While facing the stress of his play being produced on Broadway, a playwright deals with having to raise his son, his stepdaughters, and his stepsons."
Split Image,1982,"A rootless young man is drawn into an unnamed religious cult by a beautiful girl. Every moment with the group causes him to become increasingly under the control of the cult's leader. After his parents fail in their attempt, they ..."
The Challenge,1998–,Features 24 strong competitors competing for the title as they face the ultimate willpower test with unusual forms and shocking twists.
The Soldier,1982,Terrorists take over a plutonium bomb and threaten to detonate it in a Saudi Arabian oil field. A special anti-terrorist unit is sent in to stop them.
Wrong Is Right,1982,"A TV reporter finds himself in the middle of an Arab leader buying two portable nukes, terrorists, arms dealer, a reporter/CIA spy killed, a US president ordering a K-I-L-L etc."
Six Weeks,1982,"In this heart-warming drama, a terminally ill young girl strives to bring together her wealthy mother and a California politician, fulfilling her dream of having a family during the last six weeks of her life."
The State of Things,1982,The crew is running out of money to finish their film.
Jekyll and Hyde... Together Again,1982,"Dr Daniel Jekyll researching into drugs that would help mankind avoid surgery discovers a white powder that unleashes the animal in every man, and in his case turning him from a shy and timid doctor into a wild sex crazed party an..."
Forced Vengeance,1982,A casino security guard is forced into violence from when the Hong Kong mob threatens his friends.
The Missionary,1982,"In the early 20th Century, devout Reverend Charles Fortesque returns to England from his missionary work in Africa and, despite plans to marry his childhood sweetheart, receives a most unusual assignment: minister to the local pro..."
The Escape Artist,2013,A junior barrister celebrated for spiriting people out of tight legal corners represents an accused murderer.
Night Crossing,1982,"True tale about two men planing to escape from communist East Germany in a hot air balloon, but only if they can take their families with them."
Endangered Species,2021,"Jack Halsey takes his wife, their adult kids, and a friend for a dream vacation in Kenya. But as they venture off alone into a wilderness park, their safari van is flipped over by an angry rhino, leaving them injured and desperate."
Things Are Tough All Over,1982,"Cheech and Chong are hired to drive a limo from Chicago to Las Vegas by two shady Arabs--Mr. Slyman (Cheech) and Prince Habib (Chong). Unbeknownst to them, five million dollars of dirty money has been stuffed throughout the car."
Homework,1989,"In this documentary, Kiarostami asks a number of students about their school homework. The answers of some children shows the darker side of this method of education."
Jinxed!,1982,"Bette Midler is on a roll through Reno, Vegas, and Tahoe with Rip Torn as her semi-professional gambler husband, and Ken Wahl as a seductive blackjack dealer. In HD."
The Return of Martin Guerre,1982,"In medieval France, some villagers challenge a man's claim of identity when he (as he says) returns home from some time in the army."
They Call Me Bruce,1982,A goofy Korean finds his life hopelessly complicated with people continually confusing him with Bruce Lee.
Some Kind of Hero,1982,"A Vietnam vet returns home from a prisoner of war camp and is greeted as a hero, but is quickly forgotten and soon discovers how tough survival is in his own country."
Hammett,1982,"Fictional account of real-life mystery writer Dashiell Hammett, and his involvement in the investigation of a beautiful Chinese cabaret actress' mysterious disappearance in San Francisco."
Five Days One Summer,1982,Sir Sean Connery stars in Fred Zinnemann's haunting tale of incestuous love set against a magnificent background of the Swiss Alps.
Penitentiary II,1982,"An ex-con, on parole and trying to straighten his life out, decides to resume his boxing career when one of his prison enemies escapes and kills his girlfriend."
If You Could See What I Hear,1982,A light comedy/love story based on the life of blind musician Tom Sullivan.
Partners,2012–2013,"Two lifelong friends, who are both architects, form a business partnership."
Richard Pryor: Live on the Sunset Strip,1982,Richard Pryor performs his stand-up comedy act on the Sunset Strip.
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,"Rival book salesmen Bugs Bunny and Daffy Duck are forced by Sultan Yosemite Sam to read fairy tales to his spoiled, selfish son, Prince Abba-Dabba."
Monsignor,1982,An ambitious priest seduces a nun and leads the Vatican into shady business during and after World War II.
"Yes, Giorgio",1982,Famous opera singer Giorgio Fini loses his voice during an American tour. He goes to female throat specialist Pamela Taylor and falls in love with her.
I Ought to Be in Pictures,1982,Daughter leaves her mother from the east coast to visit her dad in L. A. she hasn't seen for years to find a fast pace life in movies and discovers who her father is.
La Traviata,1982,"Violetta meets Alfredo and quickly falls for him. After the lovers run away together, they live in bliss for a short time. However, Alfredo's father, Giorgio, starts to interfere, concerned that Violetta's bad reputation will affe..."
Fighting Back,1982,"A Philadelphia shop owner forms a civilian patrol to stop neighborhood crime. The patrol's actions are seen as racially discriminatory, leading to escalating conflict."
Kamikaze 89,1982,"In a totalitarian society of the future, in which the government controls all facets of the press, a homicide detective investigates a string of bombings, and finds out more than he bargained for."
The Wizard of Oz,1939,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the other..."
Heidi's Song,1982,"Orphan Heidi lives with her grandpa in Swiss Alps. She brings joy to all there. However, her aunt takes her to the city to live as a servant girl to a cold rich strict family and their nice but sad handicapped daughter."
Love Child,2014–2017,The lives of staff and residents at the fictional Kings Cross Hospital and Stanton House in Sydney in 1969.
Boardinghouse,1982,"A boarding house is reopened years after gruesome murders were committed there. Suddenly, the body count begins once more!"
Experience Preferred... But Not Essential,1982,"A shy, introverted young girl takes a summer job at a seaside resort in Wales. She finds the staff, the owners and patrons unlike anyone she has ever met before."
The Personals,1998,"An attractive and successful doctor places a personal ad in a newspaper to try to meet (and eventually marry) Mr. Right. A succession of blind dates ensues, featuring men who are lonely, desperate, dangerous and perverted."
Lonely Hearts,2006,"Based on the true story, two homicide detectives track Martha Beck and Raymond Martinez Fernandez, a murderous pair known as the ""Lonely Hearts Killers"" who lured their victims through the personals."
Scarface,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
The Outsiders,1983,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other."
Star Wars: Episode VI - Return of the Jedi,1983,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
Risky Business,1983,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
Inside Story: National Lampoon's Vacation,2011,A look at the making of the classic comedy film.
Trading Places,1983,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.
Superman III,1983,Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.
The Big Chill,1983,A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.
Staying Alive,1983,"Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage."
Jaws 3-D,1983,A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.
Christine,1983,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.
Sleepaway Camp,1983,Bunks and showers are a mad stabber's beat at a summer camp strictly for teens.
Flashdance,1983,"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school."
WarGames,1983,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III."
The Right Stuff,1983,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers pr..."
Krull,1983,"A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet, Krull."
Spring Break,1983,"Two sets of two college guys spend a spring break together in Fort Lauderdale, Florida. There they have lots of fun in and out of the sun."
The Dead Zone,1983,A man awakens from a coma to discover he has a psychic ability to foresee future events.
Octopussy,1983,"A fake Fabergé egg recovered from the body of a fellow agent leads James Bond to uncover a jewel smuggling operation lead by the mysterious Octopussy, and a plot to blow up a NATO air base."
Private School,1983,Chris from a girls' boarding school loves Jim from a nearby boys' boarding school. Jordan also wants Jim and plays dirty. Jim and two friends visit the girls' school posing as girls.
Valley Girl,1983,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
Rumble Fish,1983,"Absent-minded street thug Rusty James struggles to live up to his legendary older brother's reputation, and longs for the days of gang warfare."
Videodrome,1983,A programmer at a Toronto TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.
Terms of Endearment,1983,Follows hard-to-please Aurora looking for love and her daughter's family problems.
Twilight Zone: The Movie,1983,"Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series."
Never Say Never Again,1983,"A S.P.E.C.T.R.E. agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated."
A Christmas Story,1983,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
Cujo,1983,"Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town."
Sudden Impact,1983,"When a woman exacts deadly revenge on the aggressors who raped her and her sister ten years earlier, Inspector ""Dirty"" Harry Callahan is assigned to the case."
The Hunger,1983,"A love triangle develops between a beautiful yet dangerous vampire (Catherine Deneuve), her cellist companion (David Bowie), and a gerontologist (Susan Sarandon)."
Mr. Mom,1983,"After he's suddenly laid off, a husband switches roles with his wife. She returns to the workforce, and he becomes a stay-at-home dad, and he has to take care of three young children, a job he has no clue how to do."
Blue Thunder,1983,The cop test pilot for an experimental police helicopter learns the sinister implications of the new vehicle.
Breathless,1960,"A small-time crook, hunted by the authorities for a car theft and the murder a police officer, attempts to persuade a hip American journalism student to run away with him to Italy."
Psycho II,1983,"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him."
Local Hero,1983,"An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected."
Bad Boys,1995,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
Silkwood,1983,"A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant."
All the Right Moves,1983,An ambitious young football star is trapped in a dying mill town--unless his gridiron skills can win him a way out.
The Keep,1983,Nazis are forced to turn to a Jewish historian for help in battling the ancient demon they have inadvertently freed from its prison.
My Tutor,1983,A rich father hires a tutor for his son. The son is a horny teenager and the tutor is a gorgeous blonde. Complications ensue.
Yentl,1983,A Jewish girl disguises herself as a boy to enter religious training.
Fire and Ice,1983,"At the end of the ice age, an evil queen and her son are set on conquering the world using magic and warriors. The lone survivor of a crushed village fights back as does the king of Fire Keep."
Eddie and the Cruisers,1983,"A television newswoman picks up the story of a 1960s rock band whose long-lost leader Eddie Wilson may still be alive, while searching for the missing tapes of the band's never-released album."
Yellowbeard,1983,"After serving two decades in prison, Yellowbeard (Graham Chapman) breaks out determined to recover the treasure that he buried so long ago, alongside his son, old crew, and the British Navy."
The Meaning of Life,1983,The comedy team takes a look at life in all of its stages in their own uniquely silly way.
Nostalghia,1983,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
Hot Dog... The Movie,1983,Harkin Banks heads to skiing championships in California. A teen runaway tags along as he parties and competes with friends and foes.
Smokey and the Bandit Part 3,1983,Big and Little Enos are opening a sea food restaurant. They bet Sheriff Buford T. Justice that he cannot drive from Miami to the Enos ranch in Texas in a given amount of time. If Buford loses he has to give up his badge.
Deathstalker,1983,"A lone warrior nicknamed Deathstalker is sent by a witch on a quest to find a sword, a chalice, and an amulet, two of which are held by the wicked king and sorcerer, Munkar."
Porky's II: The Next Day,1983,The naughty high schoolers of Angel Beach High now seek revenge on a group of KKK religious fanatics and corrupt politicians who want to shut down their Shakespeare production after they cast a Seminole transfer student in the lead.
Something Wicked This Way Comes,1983,"In a small American town, a diabolical circus and its demonic proprietor prey on the townsfolk."
Tender Mercies,1983,"A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together."
Star 80,1983,A successful young model finds trouble when her obsessive manager-turned-husband becomes dangerously jealous.
Gorky Park,1983,A Moscow police officer investigates a vicious triple homicide and stumbles upon a high-level international political conspiracy.
Lone Wolf McQuade,1983,"After helping the local police with some horse thieves, a Texas Ranger aims at a drug lord with arms trade as well. They're interested in the same woman and they're both into martial arts."
Easy Money,2010,"When JW becomes a drug runner in order to maintain his double life, his fate becomes tied to two other men: Jorge, a fugitive on the run from both the Serbian mafia and the police, and mafia enforcer Mrado, who is on the hunt for ..."
Merry Christmas Mr. Lawrence,1983,"During WWII, a British colonel tries to bridge the cultural divides between a British POW and the Japanese camp commander in order to avoid bloodshed."
Losin' It,1982,"Set in 1965, four rowdy teenage guys travel to Tijuana, Mexico for a night of partying when they are joined by a heartbroken housewife who is in town seeking a quick divorce."
Screwballs,1983,Frolicking youth comedy about zany high school students set in the 1960s.
Brainstorm,1983,"Researchers develop a system where they can jump into people's minds. But when people involved bring their personal problems into the equation, it becomes dangerous - perhaps deadly."
The Man with Two Brains,1983,"A brain surgeon marries a femme fatale whose life he saved, causing his life to turn upside down. Things go even more awry when he falls in love with a telepathic brain."
Angel,1999–2004,"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption."
10 to Midnight,1983,An LAPD detective and his rookie partner are on the trail of a psychopathic young man who is murdering young women.
Uncommon Valor,1983,"Ten years after his son went M.I.A. in Vietnam, U.S. Marine retired Colonel Jason Rhodes assembles a private rescue team to find Americans held in P.O.W. camps in Laos."
Doctor Detroit,1983,"A pimp on the run trusts his sex workers to a meek professor of literature, who accepts the challenge."
Mortuary,2005,"A family moves to a small town in California where they plan on starting a new life while running a long-abandoned funeral home. The locals fear the place, which is suspected to be on haunted ground."
Stroker Ace,1983,"The title character, a popular NASCAR driver, clashes with the fried-chicken mogul that sponsors his racing team."
Sahara,2005,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator."
Two of a Kind,1983,"When God decides to destroy Earth, four angels aim to redeem mankind through a young man and woman with their own troubles."
Chained Heat,1983,"Young Carol Henderson ends up in prison where she must learn how to survive in an environment plagued by violence, murder, rape, racism, drugs and staff corruption and brutality."
Spacehunter: Adventures in the Forbidden Zone,1983,"On a distant planet inhabited by mutants, two bounty-hunters race to rescue three Earth female captives from the clutches of an evil mutant warlord."
High Road to China,1983,"During WW1, an alcoholic American biplane pilot is hired by the spoiled daughter of an industrialist to find her father who disappeared in Asia."
Never Cry Wolf,1983,"A government researcher, sent to research the ""menace"" of wolves in the north, learns about the true beneficial and positive nature of the species."
The Pirates of Penzance,1983,"After a young man leaves a band of pirates, hilarity ensues."
Rock & Rule,1983,"A malevolent rock star kidnaps a singer to force her to participate in the summoning of a demon, and her band must help her stop him."
Hercules,1997,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
Educating Rita,1983,An alcoholic professor has been hired by a working-class girl for higher education.
A Night in Heaven,1983,"A married college professor begins a torrid affair with her failing student, who secretly moonlights as a late-night strip-club dancer."
Under Fire,1983,Three journalists in a romantic triangle are involved in political intrigue during the last days of the corrupt Somozoa regime in Nicaragua before it falls to a popular revolution in 1979.
Amityville 3-D,1983,"A reporter moves into the Amityville house in defiance of the supernatural events connected to it, and finds everyone around him besieged by the evil manifestations which are connected to a demonic presence in the basement."
Testament,1983,The life of a suburban American family is scarred after a nuclear attack.
The Osterman Weekend,1983,"During the Cold War, a controversial television journalist is asked by the C.I.A. to persuade certain acquaintances, who are Soviet Agents of the Omega network, to defect."
Revenge of the Ninja,1983,"After ninjas killed his family, Cho and his son Kane come to America to start a new life. He opens a doll shop but is unwittingly importing heroin in the dolls. When his friend betrays him, Cho must prepare for the ultimate battle."
Zelig,1983,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
Independence Day,1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
Escape from the Bronx,1983,A rag-tag group of people must fight extermination squads amid their ruined city.
To Be or Not to Be,1942,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Eureka,2006–2012,"A U.S. Marshal becomes the sheriff of Eureka, a remote, cozy little Northwestern town where the best minds in the US have secretly been tucked away to build futuristic inventions for the government which often go disastrously wrong."
The Wicked Lady,1945,A noblewoman begins to lead a dangerous double life in order to alleviate her boredom.
Still Smokin,1983,"Cheech and Chong fly to the marijuana capital of the world, Amsterdam, for a film festival where they take Dolly Parton and Burt Reynolds' place in a limo, suite, press conference and performance. They throw in some sketches as well."
Yor: The Hunter from the Future,1983,A warrior seeks his true origins in a seemingly prehistoric wasteland.
Of Unknown Origin,1983,"A man becomes destructively obsessed with killing a dangerous rat, which has taken residence in his recently renovated house."
Curse of the Pink Panther,1983,"Ensuing after the events of Clouseau's disappearance, his bosses at the Surete put a computer into service to elect a new shrewd detective, Sleigh, who turns up just as inept as Clouseau."
D.C. Cab,1983,"The misadventures of a group of unfortunate but streetwise cabbies working for a Washington, D.C., decrepit taxicab company."
Beyond the Limit,1983,"During the Dirty War, a half-English doctor in Argentina befriends the police, the rebels and the alcoholic Honorary British Consul, whose Latino wife he seduces. When the consul is mistakenly kidnapped by the rebels, he must pick..."
The Survivors,1983,"Having both lost their jobs, two strangers become unlikely friends after a run in with a would be robber, who is actually a hitman with a grudge against the two."
The Lonely Lady,1983,"Hoping to achieve success in Hollywood, a young aspiring screenwriter allows others to exploit her. She goes through affair after sordid affair in her attempt to write her own screenplay and have it produced."
The Star Chamber,1983,"Frustrated with a legal system gone haywire, a secret society of judges hires hitmen to snuff out criminals who escape courtroom justice - but one young judge questions the ethics of their vigilante system."
The Dresser,1983,Personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.
The Lords of Discipline,1983,"In 1960s America, a black cadet is allowed acceptance into a seemingly prestigious military academy, unleashing a barrage of corruption within the system that another cadet is willing to expose."
Cross Creek,1983,"In the 1930s, Marjorie Kinnan Rawlings moves to Florida's backwaters to write in peace. She feels bothered by affectionate men, editor and confused neighbors, but soon she connects and writes The Yearling, a classic of American li..."
The Man Who Loved Women,1977,"Bertrand Morane's burial is attended by all the women the forty-year-old engineer loved. We then flash back to Bertrand's life and love affairs, told by himself while writing an autobiographical novel. A film about romantic relati..."
Nightmares,1983,Anthology of four horror tales with a supernatural twist based on urban legends.
Deal of the Century,1983,A small-time arms dealer in South America to sell weapons to the revolutionaries winds up negotiating the sale of an experimental plane to the nation's dictator.
Eddie Macon's Run,1983,"A young man, harshly sentenced for a few minor infractions, escapes from a prison in Huntsville Texas and flees to Laredo, Texas, where he hopes to cross into Mexico for a reunion with his wife and small son."
Max Dugan Returns,1983,"An English teacher and struggling single mother's life is disrupted when her long-lost father, who abandoned her as a child, returns with some shady money in the hope of spending some time with her and the grandson he's never met."
The Sting II,1983,A team of cons is planning a new scam involving betting on a boxing match but one of its past victims aims to exact revenge by eliminating the whole group.
Baby It's You,1983,"In a 1966 New Jersey high school, Jill and new student Sheik from the other side of the tracks make their way in a first love romance."
Heat and Dust,1983,"Anne is investigating the life of her grand-aunt Olivia, whose destiny has always been shrouded with scandal. As Anne delves into the history of her grand-aunt, she is led to reconsider her own life."
Going Berserk,1983,"A clumsy chauffeur is hypnotized by a cult to kill the father of his fiancée, a congressman who's suing the cult for fraud, and encounters several weird characters during the days leading up to his wedding."
Daniel,1983,"Daniel Isaacson attempts to determine the true complicity of his parents Paul and Rochelle Isaacson, who were executed for espionage in the 1950s."
Heart Like a Wheel,1983,"Shirley Muldowney is determined to be a top-fuel drag racer, although no woman has ever raced them before. Despite the high risks of this kind of racing and the burden it places on her family life, she perseveres in her dream."
Love Letters,1945,"Allen Quinton writes a fellow soldier's love letters; tragedy results. Later, Allen meets a beautiful amnesiac who fears postmen..."
Get Crazy,1983,"Mega-promoter Colin Beverly plans to sabotage the New Year's 1983 concert of small-time operator Max Wolfe. Wolfe's assistants Neil Allen and Willie Loman find romance while trying to save the drugs, violence, and rock and roll fr..."
Nate and Hayes,1983,A swashbuckling adventure which takes place in the mid-1800's on the South Pacific islands where bloody raids and battles were once the rule of the day.
Strange Invaders,1983,"Alien beings, who settle in a small midwestern town, are disturbed by a young professor determined to rescue his daughter from their clutches."
The Black Stallion Returns,1983,A teenager loses his horse in Morocco and gets him back after various daredevil adventures.
Metalstorm: The Destruction of Jared-Syn,1983,"On a desert planet, warlord Jared-Syn is trying to convince a tribe of mutants that he's their messiah and gain unlimited power hidden in a crystal. Ranger Dogen and explorer Dhyana, who's father was murdered by Syn, must stop him."
Getting It On,1983,"An ordinary sex-starved teenager and his friends start secretly video recording high school girls and their activity irks the community, as well as their principal."
Lianna,1983,"A happily married woman comes to realize herself of being a repressed lesbian after she has an affair with a female college professor, and then tries to come to terms with her newfound lifestyle."
Better Late Than Never,2016–2018,"This hilarious comedy/reality show follows cultural icons Henry Winkler, William Shatner, Terry Bradshaw and George Foreman on their greatest adventure yet."
Lovesick,2014–2018,"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news."
Running Brave,1983,"The story of Billy Mills, the American Indian who came from obscurity to win the 10,000-meter long-distance foot-race in the Tokyo Olympics in 1964."
Exposed,2016,A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.
